GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-203954-1626162-1627824-1630178-1642348-,J. Embiid - K. Oubre Jr. - G. Yabusele - T. Maxey - J. Edwards,1610612755,PHI,1,1,0,1.0,23.6,24.0,47.0,0.511,4.0,17.0,0.235,6.0,7.0,0.857,5.0,14.0,19.0,20.0,7.0,3.0,1.0,4.0,11.0,12.0,58.0,1.0,4669,2220,1,1,1,1,1,3592,84,5,5839,52,67,3148,12,9,5,1,12222,57,427,12228,12234,1,1,3527
Lineups,-201142-1626145-1626164-1626220-1629626-,K. Durant - T. Jones - D. Booker - R. O'Neale - B. Bol,1610612756,PHX,1,0,1,0.0,22.3,19.0,43.0,0.442,8.0,22.0,0.364,6.0,8.0,0.75,1.0,16.0,17.0,15.0,5.0,4.0,6.0,2.0,10.0,9.0,52.0,-2.0,4669,7102,4063,7102,2,5,2,6032,4,1,4058,52,35,3826,1748,2,13,4,12170,15,1,11961,12233,4,3,8538
Lineups,-203914-1629048-1630532-1630591-1641783-,G. Harris - G. Bitadze - F. Wagner - J. Suggs - T. da Silva,1610612753,ORL,1,1,0,1.0,19.7,20.0,32.0,0.625,9.0,16.0,0.563,8.0,9.0,0.889,1.0,14.0,15.0,15.0,6.0,5.0,1.0,3.0,11.0,7.0,57.0,10.0,4669,2220,1,1,4,2,9,2223,2,8,1738,16,24,3026,1748,9,25,4,12212,5,427,12189,12234,17,2,68
Lineups,-203484-1629048-1630243-1630591-1641783-,K. Caldwell-Pope - G. Bitadze - T. Queen - J. Suggs - T. da Silva,1610612753,ORL,2,1,1,0.5,19.7,16.5,34.5,0.478,2.5,13.0,0.192,5.5,6.5,0.846,4.5,13.5,18.0,6.5,8.0,6.5,3.5,2.0,5.5,7.0,41.0,6.5,2522,2220,4063,5014,3,12,7,5427,517,17,6182,107,110,3249,37,19,8,148,12233,2,13,11961,12175,17,17,395
Lineups,-201942-203897-1627734-1628370-1631099-,D. DeRozan - Z. LaVine - D. Sabonis - M. Monk - K. Murray,1610612758,SAC,6,3,3,0.5,19.5,19.2,38.7,0.496,5.2,14.0,0.369,7.2,8.5,0.843,5.0,15.7,20.7,11.3,6.0,1.8,1.3,1.7,7.7,5.8,50.7,-0.2,517,624,11199,5014,5,4,4,5313,27,12,4040,29,30,3267,12,4,2,13,12212,669,372,11947,12226,66,4,6656
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,42,28,14,0.667,19.2,18.0,35.3,0.509,4.5,12.2,0.366,6.6,8.3,0.797,3.8,13.0,16.8,12.0,5.0,2.7,1.3,2.3,6.0,8.2,47.1,2.3,1,1,12225,4409,6,7,5,3601,75,28,4055,48,33,3685,119,21,19,9,12204,171,372,12180,12213,7,6,2195
Lineups,-201572-1627752-1628398-1631157-1641748-,B. Lopez - T. Prince - K. Kuzma - R. Rollins - A. Jackson Jr.,1610612749,MIL,1,1,0,1.0,18.5,14.0,34.0,0.412,4.0,12.0,0.333,3.0,4.0,0.75,3.0,14.0,17.0,10.0,6.0,4.0,0.0,1.0,5.0,5.0,35.0,3.0,4669,2220,1,1,7,22,8,6555,84,29,4187,568,461,3826,150,9,13,20,12212,15,3946,10294,12094,83,36,1460
Lineups,-1628389-1629130-1629639-1631107-1642276-,B. Adebayo - D. Robinson - T. Herro - N. Jović - K. Ware,1610612748,MIA,1,1,0,1.0,18.0,14.0,25.0,0.56,5.0,12.0,0.417,3.0,6.0,0.5,1.0,14.0,15.0,12.0,7.0,4.0,1.0,0.0,3.0,5.0,36.0,14.0,4669,2220,1,1,8,22,49,3053,30,29,3517,568,119,5007,1748,9,25,10,12222,15,427,1,11351,83,31,16
Lineups,-1627884-1629599-1629611-1629645-1641738-,D. Jones Jr. - A. Coffey - T. Mann - K. Porter Jr. - K. Brown,1610612746,LAC,1,0,1,0.0,17.7,16.0,31.0,0.516,3.0,8.0,0.375,4.0,5.0,0.8,2.0,12.0,14.0,8.0,5.0,5.0,1.0,2.0,9.0,5.0,39.0,5.0,4669,7102,4063,7102,9,15,13,3553,232,196,3953,237,263,3501,505,25,38,54,12170,5,427,11961,12231,83,20,605
Lineups,-1626157-1628384-1628969-1628973-1630173-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - P. Achiuwa,1610612752,NYK,1,1,0,1.0,17.2,17.0,32.0,0.531,7.0,12.0,0.583,2.0,2.0,1.0,3.0,13.0,16.0,16.0,4.0,2.0,0.0,1.0,3.0,5.0,43.0,4.0,4669,2220,1,1,10,8,9,3412,7,29,1681,1221,1767,1,150,21,20,2,12061,232,3946,10294,11351,83,10,921
Lineups,-201572-203081-203114-1626171-1641748-,B. Lopez - D. Lillard - K. Middleton - B. Portis - A. Jackson Jr.,1610612749,MIL,1,0,1,0.0,17.0,17.0,42.0,0.405,9.0,22.0,0.409,4.0,4.0,1.0,4.0,14.0,18.0,13.0,3.0,1.0,1.0,2.0,2.0,8.0,47.0,4.0,4669,7102,4063,7102,11,8,3,6631,2,1,3570,237,461,1,43,9,8,8,11689,983,427,11961,9877,8,7,921
Lineups,-203468-1627749-1630529-1630530-1642274-,C. McCollum - D. Murray - H. Jones - T. Murphy III - Y. Missi,1610612740,NOP,13,2,11,0.154,17.0,15.1,31.5,0.479,4.5,12.0,0.378,5.9,6.8,0.865,4.2,10.0,14.2,9.3,5.7,2.7,1.9,1.5,6.1,5.8,40.6,-3.0,109,1092,12202,7083,12,19,12,5421,73,29,3950,103,105,3140,42,54,37,31,12211,170,284,11939,12214,67,19,9951
Lineups,-201950-204001-1627759-1628369-1628436-,J. Holiday - K. Porziņģis - J. Brown - J. Tatum - L. Kornet,1610612738,BOS,1,0,1,0.0,16.5,17.0,26.0,0.654,6.0,11.0,0.545,6.0,6.0,1.0,1.0,15.0,16.0,9.0,6.0,1.0,2.0,0.0,6.0,7.0,46.0,3.0,4669,7102,4063,7102,13,8,40,2143,11,54,1772,52,119,1,1748,5,20,35,12212,983,58,1,12182,17,8,1460
Lineups,-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,16,8,8,0.5,16.4,16.4,30.9,0.53,4.4,11.0,0.398,6.8,8.5,0.794,3.1,11.7,14.8,11.4,4.4,2.9,1.6,1.7,5.3,6.9,43.9,4.7,71,116,12158,5014,14,14,16,3419,76,54,3865,47,30,3687,148,31,34,12,12162,166,306,11955,12169,33,9,865
Lineups,-1626204-1629027-1630168-1630249-1630700-,L. Nance Jr. - T. Young - O. Okongwu - V. Krejčí - D. Daniels,1610612737,ATL,1,0,1,0.0,16.4,11.0,31.0,0.355,4.0,14.0,0.286,5.0,8.0,0.625,3.0,9.0,12.0,10.0,5.0,7.0,1.0,3.0,5.0,8.0,31.0,-8.0,4669,7102,4063,7102,15,73,13,7537,84,12,5170,118,35,4807,150,85,78,20,12170,1,427,12189,12094,8,61,12047
Lineups,-1628392-1628983-1629652-1631096-1631114-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,1610612760,OKC,2,1,1,0.5,16.1,16.0,32.0,0.5,5.0,13.0,0.385,6.0,7.0,0.857,6.5,13.5,20.0,8.5,5.0,2.5,2.0,1.5,6.5,6.0,43.0,8.5,2522,2220,4063,5014,16,15,9,3617,30,17,3897,52,67,3148,5,19,3,49,12170,180,58,11889,12215,37,10,177
Lineups,-202331-203954-1626162-1630178-1630231-,P. George - J. Embiid - K. Oubre Jr. - T. Maxey - K. Martin,1610612755,PHI,2,2,0,1.0,16.0,13.5,28.0,0.482,5.5,13.5,0.407,6.5,8.0,0.813,3.5,9.5,13.0,8.5,2.5,5.0,2.5,1.0,4.0,8.0,39.0,9.5,2522,1092,1,1,17,37,27,5387,24,15,3575,49,35,3488,126,76,54,49,11597,5,47,10294,11894,8,20,111
Lineups,-1627751-1629628-1630534-1630567-1642266-,J. Poeltl - R. Barrett - O. Agbaji - S. Barnes - J. Walter,1610612761,TOR,4,3,1,0.75,15.8,16.5,30.0,0.55,4.8,10.5,0.452,4.0,5.5,0.727,3.5,14.0,17.5,12.0,5.5,2.0,1.5,1.5,7.0,6.0,41.8,7.0,1024,624,4063,4213,18,12,17,3191,69,80,3308,237,236,4294,126,9,12,10,12208,232,308,11889,12218,37,15,269
Lineups,-203468-203901-1629750-1630530-1642274-,C. McCollum - E. Payton - J. Green - T. Murphy III - Y. Missi,1610612740,NOP,1,0,1,0.0,15.7,20.0,30.0,0.667,5.0,12.0,0.417,4.0,7.0,0.571,2.0,15.0,17.0,16.0,5.0,4.0,3.0,1.0,4.0,4.0,49.0,18.0,4669,7102,4063,7102,19,2,17,1544,30,29,3517,237,67,4959,505,5,13,2,12170,15,14,10294,11894,206,5,1
Lineups,-1629012-1630548-1630695-1631117-1642268-,C. Sexton - J. Juzang - M. Potter - W. Kessler - I. Collier,1610612762,UTA,1,1,0,1.0,15.7,9.0,26.0,0.346,3.0,11.0,0.273,4.0,4.0,1.0,5.0,14.0,19.0,4.0,7.0,1.0,1.0,3.0,7.0,5.0,25.0,0.0,4669,2220,1,1,20,178,40,7582,232,54,5335,237,461,1,12,9,5,513,12222,983,427,12189,12218,83,168,4902
