GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-203920-1626169-1627783-1627832-1629018-,K. Birch - S. Johnson - P. Siakam - F. VanVleet - G. Trent Jr.,1610612761,TOR,1,0,1,0.0,27.5,28.0,54.0,0.519,10.0,20.0,0.5,7.0,8.0,0.875,6.0,16.0,22.0,16.0,7.0,4.0,3.0,1.0,13.0,9.0,73.0,7.0,5846,8622,4787,8622,1,1,2,4271,2,4,2382,46,68,3673,16,12,8,2,14791,15,26,12417,14820,13,1,304
Lineups,-203920-1627783-1627832-1628384-1630201-,K. Birch - P. Siakam - F. VanVleet - O. Anunoby - M. Flynn,1610612761,TOR,1,0,1,0.0,27.4,23.0,55.0,0.418,10.0,23.0,0.435,0.0,0.0,0.0,6.0,15.0,21.0,15.0,4.0,3.0,1.0,1.0,5.0,4.0,56.0,-6.0,5846,8622,4787,8622,2,2,1,7874,2,2,4134,7636,8018,7636,16,18,12,3,14541,84,575,12417,14566,351,5,14104
Lineups,-203920-1626169-1627783-1627832-1629139-,K. Birch - S. Johnson - P. Siakam - F. VanVleet - Y. Watanabe,1610612761,TOR,1,0,1,0.0,24.1,19.0,45.0,0.422,6.0,20.0,0.3,4.0,6.0,0.667,4.0,14.0,18.0,10.0,6.0,3.0,2.0,3.0,7.0,7.0,48.0,-14.0,5846,8622,4787,8622,3,14,4,7825,18,4,6247,372,216,5423,80,30,36,31,14763,84,95,14749,14768,48,19,14800
Lineups,-200768-203920-1627783-1627832-1628384-,K. Lowry - K. Birch - P. Siakam - F. VanVleet - O. Anunoby,1610612761,TOR,4,2,2,0.5,22.9,21.0,42.8,0.491,8.5,22.8,0.374,6.8,8.3,0.818,4.0,16.5,20.5,16.3,4.3,3.8,2.0,2.3,7.5,7.5,57.3,10.3,1342,1419,11786,6055,4,5,7,6440,5,3,4975,76,67,4168,80,11,18,1,14682,63,95,14732,14796,42,3,89
Lineups,-1626184-1628964-1629021-1629649-1630181-,C. Randle - M. Bamba - M. Wagner - I. Brazdeikis - R. Hampton,1610612753,ORL,1,1,0,1.0,22.2,20.0,38.0,0.526,3.0,8.0,0.375,15.0,20.0,0.75,7.0,20.0,27.0,10.0,6.0,2.0,3.0,1.0,10.0,11.0,58.0,5.0,5846,2861,1,1,6,10,15,4198,326,273,4868,1,1,4604,8,2,2,31,14763,284,26,12417,14815,3,2,702
Lineups,-202322-203482-1627863-1629645-1630256-,J. Wall - K. Olynyk - D. House Jr. - K. Porter Jr. - J. Tate,1610612745,HOU,1,0,1,0.0,22.2,18.0,43.0,0.419,3.0,18.0,0.167,6.0,9.0,0.667,3.0,16.0,19.0,11.0,5.0,4.0,2.0,1.0,8.0,10.0,45.0,-1.0,5846,8622,4787,8622,5,19,5,7871,326,8,7434,81,42,5423,212,12,29,20,14710,15,95,12417,14799,5,26,8720
Lineups,-203115-203932-203999-1627750-1629008-,W. Barton - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,DEN,5,4,1,0.8,22.1,22.0,38.6,0.57,5.0,12.2,0.41,7.2,9.0,0.8,5.4,15.2,20.6,14.0,7.2,3.4,2.2,1.0,4.6,8.0,56.2,8.6,958,534,4787,4880,7,4,14,3597,60,67,4394,45,42,4235,35,17,17,5,14808,74,92,12417,14547,26,4,184
Lineups,-1629026-1629647-1629650-1629676-1630197-,K. Williams - D. Bazley - M. Brown - I. Roby - A. Pokusevski,1610612760,OKC,1,0,1,0.0,21.8,16.0,38.0,0.421,6.0,12.0,0.5,11.0,16.0,0.688,6.0,15.0,21.0,9.0,7.0,3.0,3.0,3.0,8.0,12.0,49.0,-13.0,5846,8622,4787,8622,8,33,15,7830,18,69,2382,6,4,5396,16,18,12,60,14791,84,26,14749,14799,1,17,14791
Lineups,-201143-201588-1628983-1629647-1629652-,A. Horford - G. Hill - S. Gilgeous-Alexander - D. Bazley - L. Dort,1610612760,OKC,9,5,4,0.556,21.7,18.2,39.4,0.462,6.7,18.3,0.364,6.7,8.3,0.8,2.9,17.4,20.3,10.4,4.9,2.4,1.9,1.7,6.8,8.1,49.8,1.3,351,370,14165,6011,9,17,10,6820,16,7,5011,77,66,4235,439,8,19,28,14709,246,366,14397,14765,25,16,4127
Lineups,-203085-203999-1628427-1629008-1630210-,A. Rivers - N. Jokic - V. Cancar - M. Porter Jr. - M. Howard,1610612743,DEN,1,1,0,1.0,21.7,21.0,39.0,0.538,4.0,14.0,0.286,6.0,6.0,1.0,4.0,18.0,22.0,15.0,7.0,2.0,0.0,5.0,6.0,7.0,52.0,9.0,5846,2861,1,1,10,5,11,3992,122,34,6321,81,216,1,80,5,8,3,14791,284,4787,14820,14692,48,10,137
Lineups,-203926-1627734-1627747-1628988-1629052-,D. McDermott - D. Sabonis - C. LeVert - A. Holiday - O. Brissett,1610612754,IND,2,1,1,0.5,21.2,18.0,36.5,0.493,4.0,9.5,0.421,7.5,8.0,0.938,3.0,12.0,15.0,12.0,7.5,4.0,2.0,1.0,6.5,7.5,47.5,-5.0,3209,2861,4787,6055,11,19,24,6431,122,174,4325,40,68,3453,212,63,63,13,14810,15,95,12417,14756,42,21,13676
