GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-203463-1627739-1629234-1629604-1630553-,B. McLemore - K. Dunn - D. Eubanks - C. Elleby - K. Johnson,1610612757,POR,4,1,3,0.25,4.5,2.8,7.8,0.355,1.0,4.0,0.25,1.0,1.3,0.8,0.8,3.0,3.8,2.5,1.3,0.8,0.3,0.8,1.3,1.0,7.5,-2.0,1571,3401,15870,9877,2096,4743,2588,10527,2653,1455,7492,4878,6342,4944,5408,2344,3287,2262,14333,4210,4711,14663,12432,5027,4342,12159
Lineups,-203463-1629617-1629712-1629833-1630553-,B. McLemore - R. Perry - D. Louzada - K. Blevins - K. Johnson,1610612757,POR,3,0,3,0.0,4.5,2.3,8.0,0.292,0.7,3.3,0.2,0.0,0.0,0.0,0.0,2.7,2.7,1.7,0.7,1.7,1.0,1.0,3.7,0.7,5.3,-5.0,2316,10195,15870,10195,2091,5372,2139,12102,6490,2440,8239,9011,9457,9011,8177,3709,5544,4823,9344,914,568,14796,16733,9676,6850,16046
Lineups,-203991-203992-1629027-1629629-1629631-,C. Capela - B. Bogdanovic - T. Young - C. Reddish - D. Hunter,1610612737,ATL,3,1,2,0.333,4.5,3.3,9.0,0.37,0.7,2.3,0.286,1.0,1.3,0.75,2.0,1.7,3.7,2.0,1.0,0.7,0.3,0.3,3.0,2.0,8.3,-5.7,2316,3401,13953,9264,2111,3030,1661,10333,6490,4585,7211,4878,6112,5392,703,7174,3316,2721,10086,4368,4141,12606,15975,1946,3603,16569
Lineups,-202709-203482-1626168-1628367-1628402-,C. Joseph - K. Olynyk - T. Lyles - J. Jackson - F. Jackson,1610612765,DET,6,2,4,0.333,4.5,3.0,7.5,0.4,1.5,4.3,0.346,1.2,1.3,0.875,1.2,3.0,4.2,2.3,2.0,1.2,0.3,0.3,2.5,1.2,8.7,-0.2,822,1646,16599,9264,2108,3203,2637,9232,2006,1402,5750,4797,6112,4289,2208,2344,2323,2528,15184,1270,4141,12606,15705,4942,3466,9447
Lineups,-203081-203496-203994-1626181-1629642-,D. Lillard - R. Covington - J. Nurkic - N. Powell - N. Little,1610612757,POR,6,1,5,0.167,4.5,3.8,7.5,0.511,1.3,3.7,0.364,1.5,1.7,0.9,1.0,3.2,4.2,2.3,2.8,0.8,0.7,0.2,1.5,2.0,10.5,1.2,822,3401,16937,10141,2071,2702,2637,4957,2356,2214,5579,4044,5518,4180,2281,2321,2323,2528,16652,4121,2663,11949,12827,1946,2325,4925
Lineups,-1626156-1626157-1627736-1630162-1630183-,D. Russell - K. Towns - M. Beasley - A. Edwards - J. McDaniels,1610612750,MIN,23,14,9,0.609,4.5,4.0,8.5,0.469,1.5,3.9,0.378,1.7,1.9,0.907,1.0,3.2,4.2,2.3,1.4,1.0,0.5,0.3,1.7,1.8,11.2,1.4,28,27,17307,6952,2059,1868,2019,7713,2292,2161,5409,3845,5377,4176,2279,2320,2308,2624,14563,1311,2985,12597,13606,3658,2008,4736
Lineups,-1626156-1627736-1629162-1629675-1630183-,D. Russell - M. Beasley - J. McLaughlin - N. Reid - J. McDaniels,1610612750,MIN,3,2,1,0.667,4.5,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.3,0.0,0.3,4.3,4.7,3.7,1.0,0.0,0.7,0.7,1.7,1.3,12.0,1.0,2316,1646,5744,6286,2137,1160,1661,4185,813,1455,2460,9011,9269,9011,7315,1273,2076,1098,10086,7231,2663,14466,13448,4584,1690,4965
Lineups,-202330-202397-1626162-1628998-1629023-,G. Hayward - I. Smith - K. Oubre Jr. - C. Martin - P. Washington,1610612766,CHA,7,4,3,0.571,4.5,4.0,7.9,0.509,1.1,2.4,0.471,2.7,3.4,0.792,1.1,2.4,3.6,2.9,1.7,1.3,0.4,0.3,1.7,2.6,11.9,0.4,612,591,15870,7106,2097,1868,2572,4977,2618,4540,4401,1510,1469,5198,2230,4192,3395,2121,15113,1215,3956,12536,13610,1599,1915,6731
Lineups,-202066-202685-203107-1627742-1628404-,G. Temple - J. Valanciunas - T. Satoransky - B. Ingram - J. Hart,1610612740,NOP,4,1,3,0.25,4.5,2.5,7.0,0.357,0.3,2.3,0.111,0.8,1.0,0.75,1.0,2.3,3.3,1.5,2.3,0.8,0.3,0.0,1.8,1.8,6.0,-5.5,1571,3401,15870,9877,2089,4956,2812,10484,8716,4705,8931,7317,6537,5392,2281,4372,3740,5052,16456,4210,4711,1,13627,3662,5662,16535
Lineups,-201145-203115-203210-1628408-1630267-,J. Green - W. Barton - J. Green - P. Dozier - F. Campazzo,1610612743,DEN,5,3,2,0.6,4.5,3.2,7.6,0.421,1.0,3.4,0.294,0.8,0.8,1.0,0.4,2.4,2.8,1.8,2.2,1.2,0.6,0.6,3.2,1.8,8.2,-3.2,1120,956,13953,6953,2113,3138,2632,8948,2653,2422,7186,7255,8257,1,7199,4202,5469,4690,16445,1253,2899,14394,16643,3631,3653,15085
Lineups,-203937-1626145-1629630-1630214-1630533-,K. Anderson - T. Jones - J. Morant - X. Tillman - Z. Williams,1610612763,MEM,3,2,1,0.667,4.5,4.0,8.7,0.462,1.0,3.3,0.3,1.7,1.7,1.0,0.3,1.7,2.0,3.3,0.3,2.0,0.3,0.3,0.7,1.0,10.7,1.7,2316,1646,5744,6286,2070,1868,1991,7840,2653,2440,7114,3848,5518,1,7315,7174,6433,1204,7496,287,4141,12606,6894,5027,2302,4398
