GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-202066-1630193-1630534-1641711-1642013-,G. Temple - I. Quickley - O. Agbaji - G. Dick - M. Williams,1610612761,TOR,1,0,1,0.0,22.8,18.0,43.0,0.419,9.0,19.0,0.474,3.0,3.0,1.0,8.0,17.0,25.0,12.0,6.0,3.0,1.0,7.0,10.0,2.0,48.0,-5.0,6471,9055,4804,9055,1,5,1,8689,3,2,4277,765,1343,1,4,3,1,7,15874,59,567,15901,15900,1570,8,14692
Lineups,-203484-203932-203999-1627750-1629008-,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,DEN,48,37,11,0.771,20.0,19.8,37.2,0.533,4.7,11.9,0.398,6.8,8.4,0.813,4.5,13.9,18.4,12.8,4.8,3.1,2.1,1.7,5.9,7.5,51.2,5.9,3,2,15844,5057,2,1,4,4672,102,50,5164,77,57,4680,80,15,14,4,15822,57,83,15491,15831,25,1,697
Lineups,-201572-201976-203114-203507-1627736-,B. Lopez - P. Beverley - K. Middleton - G. Antetokounmpo - M. Beasley,1610612749,MIL,2,1,1,0.5,19.8,19.0,36.0,0.528,4.5,14.5,0.31,7.5,10.5,0.714,3.5,14.0,17.5,13.5,5.5,4.0,2.5,1.0,8.5,8.5,50.0,-5.0,3671,3240,4804,6304,3,2,7,4728,108,15,6792,38,21,5846,208,9,20,3,15869,14,66,13287,15897,9,2,14692
Lineups,-1628389-1629130-1629312-1631107-1631170-,B. Adebayo - D. Robinson - H. Highsmith - N. Jovic - J. Jaquez Jr.,1610612748,MIA,1,1,0,1.0,19.3,15.0,41.0,0.366,6.0,14.0,0.429,5.0,6.0,0.833,9.0,12.0,21.0,11.0,3.0,3.0,1.0,4.0,4.0,8.0,41.0,10.0,6471,3240,1,1,4,29,2,9932,19,16,4506,148,180,4368,2,37,5,12,15246,59,567,15882,15454,12,27,99
Lineups,-1627739-1628381-1630209-1631323-1641718-,K. Dunn - J. Collins - O. Yurtseven - S. Fontecchio - K. George,1610612762,UTA,1,1,0,1.0,19.0,16.0,35.0,0.457,5.0,16.0,0.313,2.0,3.0,0.667,5.0,17.0,22.0,6.0,10.0,3.0,2.0,1.0,6.0,5.0,39.0,2.0,6471,3240,1,1,5,18,9,7696,48,5,6761,1636,1343,6055,39,3,3,268,15900,59,88,13287,15832,123,35,2921
Lineups,-200768-201567-202710-1628389-1629639-,K. Lowry - K. Love - J. Butler - B. Adebayo - T. Herro,1610612748,MIA,2,1,1,0.5,18.9,18.0,40.5,0.444,6.5,12.0,0.542,6.5,9.0,0.722,9.0,13.5,22.5,11.0,3.5,4.5,2.0,6.5,6.0,7.0,49.0,8.5,3671,3240,4804,6304,6,5,3,7921,17,39,2462,78,40,5832,2,17,2,12,15634,13,88,15900,15832,26,4,205
Lineups,-1628991-1630533-1630583-1630692-1631246-,J. Jackson Jr. - Z. Williams - S. Aldama - J. Goodwin - V. Williams Jr.,1610612763,MEM,1,0,1,0.0,18.7,18.0,37.0,0.486,5.0,15.0,0.333,9.0,9.0,1.0,6.0,12.0,18.0,11.0,5.0,6.0,3.0,3.0,5.0,6.0,50.0,7.0,6471,9055,4804,9055,8,5,5,7199,48,13,5625,12,40,1,13,37,15,12,15824,1,21,15812,15713,64,2,337
Lineups,-1628384-1628404-1628973-1628978-1630579-,O. Anunoby - J. Hart - J. Brunson - D. DiVincenzo - J. Sims,1610612752,NYK,1,1,0,1.0,18.7,16.0,33.0,0.485,10.0,16.0,0.625,5.0,5.0,1.0,2.0,10.0,12.0,10.0,2.0,4.0,1.0,1.0,8.0,4.0,47.0,14.0,6471,3240,1,1,7,18,14,7215,1,5,2083,148,358,1,678,80,118,27,13855,14,567,13287,15890,249,10,23
Lineups,-1629028-1630625-1630703-1631200-1641739-,D. Ayton - D. Banton - S. Henderson - K. Murray - T. Camara,1610612757,POR,1,0,1,0.0,18.5,11.0,29.0,0.379,4.0,12.0,0.333,5.0,6.0,0.833,1.0,15.0,16.0,7.0,7.0,5.0,2.0,1.0,8.0,7.0,31.0,-10.0,6471,9055,4804,9055,9,134,36,9675,130,39,5625,148,180,4368,2214,6,28,156,15888,5,88,13287,15890,26,113,15785
Lineups,-1630165-1630191-1630587-1630595-1631105-,K. Hayes - I. Stewart - I. Livers - C. Cunningham - J. Duren,1610612765,DET,1,0,1,0.0,18.5,15.0,31.0,0.484,2.0,11.0,0.182,2.0,7.0,0.286,3.0,11.0,14.0,8.0,8.0,1.0,1.0,2.0,8.0,6.0,34.0,-14.0,6471,9055,4804,9055,11,29,24,7226,774,60,8201,1636,93,8291,240,50,53,90,15895,1191,567,15500,15890,64,69,15884
Lineups,-1626167-1628971-1629614-1630167-1630174-,M. Turner - B. Brown - A. Nembhard - O. Toppin - A. Nesmith,1610612754,IND,1,1,0,1.0,18.5,18.0,37.0,0.486,6.0,12.0,0.5,5.0,5.0,1.0,6.0,15.0,21.0,16.0,7.0,2.0,2.0,4.0,7.0,8.0,47.0,3.0,6471,3240,1,1,10,5,5,7199,19,39,2519,148,358,1,13,6,5,2,15888,249,88,15882,15876,12,10,1831
Lineups,-203944-1628384-1628392-1628973-1628978-,J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,1610612752,NYK,10,9,1,0.9,18.0,17.3,33.4,0.518,6.6,15.3,0.431,6.9,8.1,0.852,3.8,13.9,17.7,11.5,5.4,3.1,1.2,1.6,7.1,6.3,48.1,6.2,388,164,4804,4812,13,10,13,4838,16,12,4503,75,58,4320,191,14,19,11,15868,56,537,15470,15889,61,7,488
Lineups,-1628379-1628991-1630217-1630583-1641713-,L. Kennard - J. Jackson Jr. - D. Bane - S. Aldama - G. Jackson,1610612763,MEM,1,0,1,0.0,18.0,13.0,32.0,0.406,8.0,20.0,0.4,9.0,12.0,0.75,1.0,12.0,13.0,11.0,6.0,4.0,2.0,4.0,9.0,7.0,43.0,-1.0,6471,9055,4804,9055,12,66,16,8895,6,1,4803,12,9,5197,2214,37,80,12,15874,14,88,15882,15898,26,17,9373
Lineups,-1630205-1630590-1631222-1641713-1641998-,L. Stevens - S. Pippen Jr. - J. LaRavia - G. Jackson - T. Jemison,1610612763,MEM,1,0,1,0.0,17.8,14.0,29.0,0.483,7.0,14.0,0.5,7.0,7.0,1.0,4.0,11.0,15.0,9.0,8.0,5.0,3.0,4.0,3.0,7.0,42.0,4.0,6471,9055,4804,9055,14,43,36,7239,8,16,2519,41,93,1,89,50,41,52,15895,5,21,15882,14710,26,24,1154
Lineups,-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,25,15,10,0.6,17.8,16.5,32.8,0.504,4.4,12.6,0.348,5.7,7.2,0.785,2.3,13.7,16.0,11.6,4.4,2.0,2.6,1.5,6.4,6.0,43.1,2.6,40,41,15824,6018,15,13,15,4953,121,34,5594,132,91,5048,652,16,35,10,15815,249,64,15464,15873,64,16,2656
Lineups,-203944-1628384-1628392-1628978-1630540-,J. Randle - O. Anunoby - I. Hartenstein - D. DiVincenzo - M. McBride,1610612752,NYK,2,1,1,0.5,17.7,14.0,29.5,0.475,5.0,15.5,0.323,6.0,10.5,0.571,6.0,13.5,19.5,9.5,5.5,2.0,3.0,0.5,5.5,8.5,39.0,3.0,3671,3240,4804,6304,16,43,34,7353,48,11,6727,80,21,6786,13,17,10,43,15869,249,21,11865,15819,9,35,1831
Lineups,-1627739-1631117-1641707-1641718-1641729-,K. Dunn - W. Kessler - T. Hendricks - K. George - B. Sensabaugh,1610612762,UTA,1,0,1,0.0,17.4,11.0,30.0,0.367,2.0,13.0,0.154,6.0,8.0,0.75,3.0,19.0,22.0,5.0,7.0,1.0,1.0,3.0,6.0,7.0,30.0,-8.0,6471,9055,4804,9055,17,134,31,9926,774,23,8352,80,59,5197,240,1,3,427,15888,1191,567,15812,15832,26,126,15600
Lineups,-203944-1628384-1628973-1628978-1630579-,J. Randle - O. Anunoby - J. Brunson - D. DiVincenzo - J. Sims,1610612752,NYK,2,2,0,1.0,17.2,16.5,27.5,0.6,4.5,9.5,0.474,5.0,5.0,1.0,2.5,9.5,12.0,8.0,5.0,3.5,1.0,0.5,4.5,5.5,42.5,9.5,3671,1678,1,1,18,14,55,3136,108,141,4277,148,358,1,556,106,118,90,15824,48,567,11865,15674,112,21,142
Lineups,-1628379-1628991-1630583-1630590-1641713-,L. Kennard - J. Jackson Jr. - S. Aldama - S. Pippen Jr. - G. Jackson,1610612763,MEM,1,1,0,1.0,17.2,14.0,27.0,0.519,5.0,16.0,0.313,9.0,10.0,0.9,1.0,9.0,10.0,10.0,5.0,4.0,4.0,0.0,5.0,5.0,42.0,-2.0,6471,3240,1,1,19,43,57,4825,48,5,6761,12,24,3960,2214,121,221,27,15824,14,7,1,15713,123,24,11134
Lineups,-201599-202704-203200-203484-1629008-,D. Jordan - R. Jackson - J. Holiday - K. Caldwell-Pope - M. Porter Jr.,1610612743,DEN,1,1,0,1.0,17.1,14.0,34.0,0.412,4.0,8.0,0.5,5.0,11.0,0.455,8.0,10.0,18.0,10.0,4.0,4.0,1.0,1.0,10.0,7.0,37.0,-1.0,6471,3240,1,1,20,43,11,8823,130,220,2519,148,17,8127,4,80,15,27,15678,14,567,13287,15900,26,44,9373
Lineups,-201566-202331-202695-203496-1627826-,R. Westbrook - P. George - K. Leonard - R. Covington - I. Zubac,1610612746,LAC,3,2,1,0.667,17.1,18.3,31.7,0.579,5.0,11.3,0.441,5.7,8.7,0.654,3.3,12.7,16.0,12.3,5.0,5.3,3.0,1.3,6.3,7.7,47.3,14.0,2387,1678,4804,5383,21,4,20,3738,48,54,4468,133,54,6542,224,28,28,5,15824,4,21,15328,15871,22,9,23
