GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-203933-203960-1627734-1627763-1628988-,T. Warren - J. Sampson - D. Sabonis - M. Brogdon - A. Holiday,1610612754,IND,5,4,1,0.8,13.2,12.8,24.8,0.516,1.6,5.8,0.276,2.2,2.2,1.0,2.0,9.8,11.8,8.0,3.2,2.2,1.2,1.2,4.6,4.0,29.4,4.4,1208,642,4331,4463,68,67,76,3794,1391,541,5938,1408,2097,1,472,100,122,51,13512,183,394,13389,13567,279,104,910
Lineups,-202687-1626179-1628984-1628997-1628998-,B. Biyombo - T. Rozier - D. Graham - C. Martin - C. Martin,1610612766,CHA,1,0,1,0.0,13.1,11.0,22.0,0.5,5.0,12.0,0.417,0.0,0.0,0.0,2.0,6.0,8.0,8.0,1.0,2.0,4.0,0.0,4.0,3.0,27.0,1.0,5956,8348,4331,8348,71,101,122,3879,30,27,3859,7357,7743,7357,472,388,361,51,8118,193,4,1,13288,596,146,3866
Lineups,-200768-1626178-1627783-1627832-1628384-,K. Lowry - R. Hollis-Jefferson - P. Siakam - F. VanVleet - O. Anunoby,1610612761,TOR,2,2,0,1.0,13.1,15.5,26.0,0.596,4.5,10.0,0.45,4.5,6.5,0.692,3.5,10.5,14.0,9.5,6.0,3.0,0.5,0.5,6.0,7.5,40.0,7.5,3507,1596,1,1,72,16,52,2836,59,71,3590,258,137,5112,126,66,53,23,13767,48,2319,10663,13702,24,23,267
Lineups,-201939-203110-203922-1626156-1629673-,S. Curry - D. Green - G. Robinson III - D. Russell - J. Poole,1610612744,GSW,1,1,0,1.0,13.1,13.0,31.0,0.419,3.0,11.0,0.273,2.0,2.0,1.0,4.0,12.0,16.0,10.0,5.0,4.0,0.0,3.0,7.0,3.0,31.0,8.0,5956,3091,1,1,70,49,15,7128,207,43,5945,1458,2160,1,54,34,15,12,13712,13,4536,13756,13753,596,80,178
Lineups,-201933-203083-203503-1628379-1628971-,B. Griffin - A. Drummond - T. Snell - L. Kennard - B. Brown,1610612765,DET,9,4,5,0.444,13.0,11.0,23.7,0.465,3.4,8.4,0.408,4.0,4.8,0.837,2.8,10.7,13.4,7.0,3.2,1.8,1.4,1.7,4.7,4.1,29.4,4.8,437,642,13263,7150,74,101,90,6156,182,179,3918,287,470,3666,364,62,73,88,13516,634,346,13501,13570,277,103,842
Lineups,-202688-203089-204038-1626174-1628971-,B. Knight - J. Henson - L. Galloway - C. Wood - B. Brown,1610612765,DET,1,0,1,0.0,13.0,12.0,24.0,0.5,4.0,9.0,0.444,17.0,18.0,0.944,4.0,11.0,15.0,6.0,0.0,4.0,3.0,1.0,4.0,10.0,45.0,25.0,5956,8348,4331,8348,73,71,82,3879,74,114,3600,2,2,3196,54,47,31,162,1,13,7,11896,13288,7,13,4
Lineups,-203095-203920-203932-1628365-1628371-,E. Fournier - K. Birch - A. Gordon - M. Fultz - J. Isaac,1610612753,ORL,8,4,4,0.5,13.0,10.5,24.4,0.431,2.6,7.0,0.375,3.4,4.6,0.73,3.3,9.3,12.5,5.4,3.8,1.6,2.4,1.1,2.8,5.0,27.0,-2.8,541,642,12905,5655,76,130,80,6778,470,266,4341,636,484,4894,146,113,90,258,13567,678,64,13376,12624,121,146,11329
Lineups,-201976-202331-203090-1627826-1629611-,P. Beverley - P. George - M. Harkless - I. Zubac - T. Mann,1610612746,LAC,1,1,0,1.0,13.0,8.0,22.0,0.364,3.0,11.0,0.273,3.0,4.0,0.75,1.0,11.0,12.0,5.0,5.0,1.0,2.0,1.0,7.0,6.0,22.0,1.0,5956,3091,1,1,75,292,122,8244,207,43,5945,687,575,4343,1645,47,99,276,13712,960,70,11896,13753,52,277,3866
Lineups,-101133-202397-202722-203078-203895-,I. Mahinmi - I. Smith - D. Bertans - B. Beal - J. McRae,1610612764,WAS,1,0,1,0.0,12.9,12.0,23.0,0.522,3.0,7.0,0.429,5.0,5.0,1.0,3.0,7.0,10.0,3.0,0.0,1.0,0.0,3.0,5.0,3.0,32.0,0.0,5956,8348,4331,8348,77,71,99,3749,207,266,3685,148,320,1,154,250,197,903,1,960,4536,13756,13592,596,67,5530
Lineups,-1627747-1627752-1627789-1628386-1629185-,C. LeVert - T. Prince - T. Luwawu-Cabarrot - J. Allen - C. Chiozza,1610612751,BKN,2,2,0,1.0,12.8,8.5,24.5,0.347,3.5,11.0,0.318,2.0,2.5,0.8,4.0,8.0,12.0,5.5,4.0,2.5,2.0,1.5,5.5,5.0,22.5,-2.0,3507,1596,1,1,83,268,78,8447,169,43,5632,1458,1830,3984,54,170,99,243,13578,151,70,13447,13681,121,271,9805
Lineups,-203110-203922-1626156-1626161-1629673-,D. Green - G. Robinson III - D. Russell - W. Cauley-Stein - J. Poole,1610612744,GSW,3,0,3,0.0,12.8,11.3,24.3,0.466,2.7,8.7,0.308,1.7,3.7,0.455,2.3,7.0,9.3,9.0,2.7,1.7,1.0,1.0,5.7,4.3,27.0,-10.3,2278,8348,12228,8348,80,94,81,6148,456,162,5671,2996,1062,7127,427,250,260,25,13194,656,418,11896,13694,258,146,13742
